id,status,name,intersection,direction,street_segments
63,Proposed,Armstrong Ave,Armstrong Ave & Newhall St,circle,
64,Proposed,Armstrong Ave,Newhall St & Bitting Ave,circle,"Armstrong Ave, Carroll Ave, Lydia Ave"
65,Proposed,Armstrong Ave,Bitting Ave & Kalmanovitz St,circle,Newhall St
66,Proposed,Armstrong Ave,Kalmanovitz St & Osri Cir,circle,"Armstrong Ave, Orsi Cir, Lydia Ave"
67,Proposed,Hearst Ave,Hearst Ave & Baden St,east-west,"Baden St, Congo St, Detroit St, Edna St, Foerster St, Gennessee St"
68,Proposed,Hearst Ave,Hearst Ave & Ridgewood Ave,east-west,"Baden St, Congo St, Detroit St, Edna St, Foerster St, Gennessee St"
69,Proposed,Hollister Ave,Hollister Ave & Hawes St,east-west,"Start: 900-999 Block, Hawes St, Ingalls St, Jennings St"
70,Proposed,Hollister Ave,Hollister Ave & 03rd St,east-west,"Start: 900-999 Block, Hawes St, Ingalls St, Jennings St"
71,Proposed,Lapu Lapu/Rizal/Tandang Sora/Bonifacio/Mabini,Mabini St & Folsom St,circle,Folsom St
72,Proposed,Lapu Lapu/Rizal/Tandang Sora/Bonifacio/Mabini,Mabini St & Bonifacio St,circle,
73,Proposed,Lapu Lapu/Rizal/Tandang Sora/Bonifacio/Mabini,Bonifacio St & Tandang Sora,circle,"Tandang Sora, Mabini St"
74,Proposed,Lapu Lapu/Rizal/Tandang Sora/Bonifacio/Mabini,Tandang Sora & Rizal St,circle,Bonifacio St
75,Proposed,Lapu Lapu/Rizal/Tandang Sora/Bonifacio/Mabini,Rizal St & Lapu-Lapu St,circle,Tandang Sora
76,Proposed,Lapu Lapu/Rizal/Tandang Sora/Bonifacio/Mabini,Bonifacio St & Lapu-Lapu St,circle,
77,Proposed,Lapu Lapu/Rizal/Tandang Sora/Bonifacio/Mabini,Lapu-Lapu St & Harrison St,circle,"Harrison St, Rizal St"
78,Proposed,Leland Ave,Leland Ave & Alpha St,east-west,"Alpha St, Peabody St, Rutland St, Cora St, Delta St, Schwerin St, Rey St, Elliot St, Britton St, Loehr St, Sawyer St"
79,Proposed,Leland Ave,Leland Ave & Hahn St,east-west,"Alpha St, Peabody St, Rutland St, Cora St, Delta St, Schwerin St, Rey St, Elliot St, Britton St, Loehr St, Sawyer St"
80,Proposed,Lyon St,Lyon St & Haight St,north-south,"Haight St, Page St, Fell St, Hayes St, Grove St, Fulton St, Mcallister St, Golden Gate Ave"
81,Proposed,Lyon St,Lyon St & Turk Blvd,north-south,"Haight St, Page St, Fell St, Hayes St, Grove St, Fulton St, Mcallister St, Golden Gate Ave"
82,Proposed,Mendell St,Mendell St & Evans Ave,north-south,"Evans Ave, Fairfax Ave, Galvez Ave, Hudson Ave, Innes Ave, Jerrold Ave, Kirkwood ave, La Salle Ave, Mckinnon Ave"
83,Proposed,Mendell St,Mendell St & Newcomb Ave,north-south,"Evans Ave, Fairfax Ave, Galvez Ave, Hudson Ave, Innes Ave, Jerrold Ave, Kirkwood ave, La Salle Ave, Mckinnon Ave"
84,Proposed,Scotia/Thornton/Thomas,Scotia Ave & Silver Ave,north-south,"Silver Ave, Quint St, Maddux Ave"
85,Proposed,Scotia/Thornton/Thomas,Scotia Ave & Thornton Ave,north-south,"Silver Ave, Quint St, Maddux Ave"
86,Proposed,Scotia/Thornton/Thomas,Silver Ave & Thomas Ave,north-south,"Augusta St, Conkling St, Santa Fe Ave, Topeka Ave"
87,Proposed,Scotia/Thornton/Thomas,Griffith St & Thomas Ave,north-south,
88,Proposed,Scotia/Thornton/Thomas,Thomas Ave & 03rd St,north-south,"Griffith St, Hawes St, Ingalls St, Jennings St, Keith St, Lane St, Maddux Ave, Quint St, Robblee Ave, Silver Ave"
